City,State,2010 Population,CBSA Code,CO ,Pb,NO2,NO2,O3,PM10,PM2.5 (WAM),PM2.5 (24hr),SO2
Scranton--Wilkes-Barre--Hazleton,PA,563631,42540,1,,10,44,0.06,37,7.6,16,2
Searcy,AR,77076,42620,,,,,,,,,
Seattle-Tacoma-Bellevue,WA,3439809,42660,1,,16,54,0.075,33,12.2,69,3
Sebastian-Vero Beach,FL,138028,42680,,,,,0.057,,,,
Sebring,FL,98786,42700,,,,,0.058,,,,
Seneca,SC,74273,42860,,,,,,,,,
Sevierville,TN,89889,42940,,,,,0.064,,,,
Shawnee,OK,69442,43060,,,,,,,,,
Sheboygan,WI,115507,43100,,,,,0.077,,,,
Shelton,WA,60699,43220,,,,,,,,,
Sheridan,WY,29116,43260,,,,,0.029,55,,,
Show Low,AZ,107449,43320,,,,,0.065,32,,,
Shreveport-Bossier City,LA,439811,43340,,,,,0.065,77,9.7,20,4
Sierra Vista-Douglas,AZ,131346,43420,,,,,0.065,124,,,
Silver City,NM,29514,43500,,,,,,,,,
Sioux Falls,SD,228261,43620,1,,4,27,0.065,115,4.7,13,2
Somerset,KY,63063,43700,,,,,0.058,,7.8,17,
Somerset,PA,77742,43740,,,,,0.059,,,,
Sonora,CA,55365,43760,,,,,0.061,,,,
Spartanburg,SC,313268,43900,,,,,0.063,,,,
Spokane-Spokane Valley,WA,527753,44060,,,,,0.061,97,8.9,31,
Springfield,IL,210170,44100,,,,,0.064,,8.7,19,
Springfield,MA,621570,44140,,,10,40,0.067,14,6.5,16,1
Springfield,MO,436712,44180,,,,,0.066,73,7.7,18,
Springfield,OH,138333,44220,,,,,0.068,,,,
State College,PA,153990,44300,,,4,29,0.06,,7.9,17,3
Steamboat Springs,CO,23509,44460,,,,,,45,,,
Stillwater,OK,77350,44660,,,,,,,,,
Stockton-Lodi,CA,685306,44700,2,,8,39,0.062,93,10.2,35,
Summerville,GA,26015,44900,,,,,0.061,,,,
Syracuse,NY,662577,45060,,,,,0.056,,5.8,12,
Tahlequah,OK,46987,45140,,,,,,,,,
Talladega-Sylacauga,AL,93830,45180,,,,,,,,,
Tallahassee,FL,367413,45220,0,,,,0.059,,7.2,15,3
Tampa-St. Petersburg-Clearwater,FL,2783243,45300,1,0.12,9,34,0.067,53,8,16,71
Taos,NM,32937,45340,,,,,,,4.6,18,
Terre Haute,IN,172425,45460,,,,,0.068,,8.4,24,3
The Dalles,OR,25213,45520,,,,,,,,,
Toledo,OH,610001,45780,,0.03,,,0.07,,8.7,24,17
Topeka,KS,233870,45820,,,,,0.059,95,,,
Torrington,CT,189927,45860,0,,,,0.07,20,4.5,11,3
Traverse City,MI,143372,45900,,,,,0.069,,,,
Trenton,NJ,366513,45940,,,,,0.068,,7.8,16,
Troy,AL,32899,45980,,0.22,,,,,,,
Truckee-Grass Valley,CA,98764,46020,,,,,0.075,,,,
Tucson,AZ,980263,46060,1,,7,37,0.071,198,6.3,13,2
Tulsa,OK,937478,46140,1,,7,39,0.075,106,9,21,6
Tupelo,MS,136268,46180,,,,,0.067,,,,
Tuscaloosa,AL,230162,46220,,,,,0.06,,7.6,17,
Twin Falls,ID,99604,46300,,,,,,,,,
Tyler,TX,209714,46340,,,2,14,0.071,,,,
Ukiah,CA,87841,46380,,,,,0.05,50,,,
Urban Honolulu,HI,953207,46520,1,,,,0.044,45,3.7,8,63
Utica-Rome,NY,299397,46540,,,,,,,,,
Valdosta,GA,139588,46660,,,,,,,9.3,21,
Vallejo-Fairfield,CA,413344,46700,2,,7,39,0.063,30,7.7,23,5
Vermillion,SD,13864,46820,,,,,0.062,,6,14,
Vernal,UT,32588,46860,,,4,30,0.064,,5.1,15,
Vicksburg,MS,58377,46980,,,,,,,,,
Victoria,TX,94003,47020,,,,,0.06,,,,
Vincennes,IN,38440,47180,,,,,0.065,,,,
Vineland-Bridgeton,NJ,156898,47220,,,6,32,0.061,,5.8,13,
Vineyard Haven,MA,16535,47240,,,,,0.064,,,,
Visalia-Porterville,CA,442179,47300,,,8,,0.086,124,14.9,41,
Wabash,IN,32888,47340,,,,,0.068,,,,
Waco,TX,252772,47380,1,,,,0.062,,,,7
Walla Walla,WA,62859,47460,,,,,0.056,99,,,
Walterboro,SC,5401,47500,,,,,,,,,
Warner Robins,GA,179605,47580,,,,,,,8.7,20,
Warren,PA,41815,47620,,,,,,,,,50
Washington,NC,47759,47820,,,,,,,,,10
Washington Court House,OH,29030,47920,,,,,0.051,,,,
Waterloo-Cedar Falls,IA,167819,47940,,,,,0.056,,7.3,19,
Watertown,SD,27227,47980,,,,,0.066,114,6.9,16,
Watertown-Fort Atkinson,WI,83686,48020,,,,,0.063,,,,
Watertown-Fort Drum,NY,116229,48060,,,,,0.059,,,,
Wausau,WI,134063,48140,,,,,0.057,,,,
Weatherford,OK,27469,48220,,,,,,,,,
Wenatchee,WA,110884,48300,,,,,,,,,1
West Plains,MO,40400,48460,,,,,,,,,
Whitewater-Elkhorn,WI,102228,48580,,,,,0.07,,,,
Wichita,KS,630919,48620,,,6,29,0.072,128,9.1,23,3
Williamsport,PA,116111,48700,,,,,0.055,,,,
Williston,ND,22398,48780,,,,,,,,,7
Willmar,MN,42239,48820,,,,,,,,,
Wilmington,NC,254884,48900,,,,,0.058,40,5,12,
Wilmington,OH,42040,48940,,,,,0.064,,,,
Winona,MN,51461,49100,,,,,,,,,
Winston-Salem,NC,640595,49180,,,6,35,0.062,28,8.9,19,4
Wisconsin Rapids-Marshfield,WI,74749,49220,,,,,,,,,
Yakima,WA,243231,49420,,,,,,80,9.6,29,
York-Hanover,PA,434972,49620,,,9,39,0.064,,8.8,21,7
Yuba City,CA,166892,49700,,,7,37,0.069,71,10.7,28,
Yuma,AZ,195751,49740,,,,,0.068,234,8.3,23,
